Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
544,sungaipenuh,-2.08,101.38,26.81,28.24,26.81,26.81,54,1.19,92,ID,25200,Hotel Jaya Wisata 2
346,suntar,62.14,117.63,17.75,13.92,17.75,17.75,29,2.53,0,RU,32400,Gostevoy Dom
487,surgut,61.25,73.42,18.0,16.88,18.0,18.0,63,2.0,40,RU,18000,Business Hotel
372,sydney,-33.87,151.21,15.35,9.42,14.44,16.11,48,6.7,0,AU,36000,QT Sydney
433,tahe,52.33,124.73,18.14,15.75,18.14,18.14,61,3.67,39,CN,28800,塔河宾馆
272,talnakh,69.49,88.4,18.0,16.18,18.0,18.0,63,3.0,13,RU,25200,Talnakh Hotel
222,tasiilaq,65.61,-37.64,3.0,0.15,3.0,3.0,74,1.0,0,GL,-7200,The Red House
108,teya,60.38,92.63,20.66,20.04,20.66,20.66,55,1.47,100,RU,25200,missing value
304,thaba-tseka,-29.52,28.61,11.74,9.0,11.74,11.74,38,0.67,96,LS,7200,Motherland Guesthouse
477,tias,28.96,-13.64,26.0,28.36,26.0,26.0,74,2.6,6,ES,3600,Hotel Beatriz Playa & SPA
603,tigzirt,36.89,4.12,28.79,28.34,28.79,28.79,39,2.18,0,DZ,3600,Appartement de la plage
572,tiksi,71.69,128.87,6.19,2.09,6.19,6.19,67,3.13,30,RU,32400,Arktika
382,tilichiki,60.47,166.1,11.2,9.09,11.2,11.2,63,1.25,90,RU,43200,missing value
5,tiznit,29.58,-9.5,32.87,29.03,32.87,32.87,14,3.05,10,MA,3600,missing value
571,tlapacoyan,19.97,-97.22,22.34,24.67,22.34,22.34,80,1.11,100,MX,-18000,Hotel San Diego
472,tuatapere,-46.13,167.68,7.22,2.19,7.22,7.22,72,4.92,100,NZ,43200,Ron and Tony's Bed & Breakfast
193,udachnyy,66.42,112.4,19.0,15.7,19.0,19.0,29,2.0,0,RU,32400,Gostinitsa Vilyuy
284,udarnyy,54.34,42.86,22.96,20.38,22.96,22.96,49,4.43,96,RU,10800,missing value
170,ugoofaaru,5.67,73.0,28.48,29.43,28.48,28.48,72,6.08,100,MV,18000,Ungoofaaru Inn
547,ulaanbaatar,47.91,106.88,21.0,14.71,21.0,21.0,49,9.0,75,MN,28800,The Blue Sky Hotel and Tower
322,ulladulla,-35.35,150.47,14.05,9.52,12.22,15.0,51,4.6,0,AU,36000,Sandpiper Motel
582,upington,-28.45,21.26,10.0,6.3,10.0,10.0,61,3.1,3,ZA,7200,River Place Manor
606,urengoy,65.97,78.37,18.31,16.51,18.31,18.31,58,2.6,0,RU,18000,Gostinnitsa Medveditsa
164,urzhum,57.11,50.0,21.2,20.63,21.2,21.2,64,2.67,99,RU,10800,Morning Hotel
9,ushuaia,-54.8,-68.3,4.0,-2.1,4.0,4.0,55,5.1,75,AR,-10800,Albatros Hotel
199,usolye,59.43,56.68,17.99,16.85,17.99,17.99,72,2.9,34,RU,18000,Khostel
260,vagur,61.47,-6.81,9.15,4.18,9.15,9.15,75,5.48,88,FO,3600,Vestmanna Hostel
541,vallenar,-28.57,-70.76,8.52,6.49,8.52,8.52,75,1.11,0,CL,-14400,Humacao Bed & Breakfast
259,vao,-22.67,167.48,19.83,15.34,19.83,19.83,67,7.99,100,NC,39600,Hotel Kou-Bugny
