Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
39,puerto ayora,-0.74,-90.35,22.92,19.16,21.67,25.0,65,8.2,75,EC,-21600,Finch Bay Galapagos Hotel
551,puerto del rosario,28.5,-13.86,25.0,22.73,25.0,25.0,65,7.2,20,ES,3600,Hotel JM Puerto del Rosario
20,punta arenas,-53.15,-70.92,2.89,-2.85,2.78,3.0,74,5.1,20,CL,-10800,Hotel Dreams Del Estrecho
121,qaanaaq,77.48,-69.36,9.77,7.02,9.77,9.77,52,1.18,0,GL,-10800,Qaanaaq Hotel
439,qaqortoq,60.72,-46.03,13.0,9.63,13.0,13.0,71,4.1,99,GL,-7200,Hotel Qaqortoq
370,quatre cocos,-20.21,57.76,20.0,15.27,20.0,20.0,56,7.2,75,MU,14400,Veranda Palmar Beach Hotel
599,rabo de peixe,37.8,-25.58,21.0,21.16,21.0,21.0,73,2.6,40,PT,0,Quinta das Giestas
227,rawson,-43.3,-65.1,7.18,-0.7,7.18,7.18,56,8.22,89,AR,-10800,Hotel Punta León
552,rensvik,63.1,7.82,12.0,8.06,12.0,12.0,71,4.6,95,NO,7200,Thon Hotels Storgata
111,ribeira grande,38.52,-28.7,22.0,21.83,22.0,22.0,73,3.6,40,PT,0,Quinta da Meia Eira
57,richards bay,-28.78,32.04,16.89,14.66,16.89,16.89,76,4.35,0,ZA,7200,BON Hotel Waterfront Richards Bay
19,rikitea,-23.12,-134.97,20.27,16.72,20.27,20.27,58,5.84,34,PF,-32400,Pension Maro'i
485,sabha,27.04,14.43,28.29,24.24,28.29,28.29,20,3.68,0,LY,7200,محطة ام الارانب -سبها مواصلات
183,saint-augustin,51.23,-58.65,21.96,18.51,21.96,21.96,58,6.41,13,CA,-14400,missing value
219,saint-philippe,-21.36,55.77,14.91,10.86,8.89,19.0,63,5.1,90,RE,14400,"Chambres d'hôte ""La Trinité"""
93,saldanha,-33.01,17.94,10.0,7.77,10.0,10.0,61,1.0,0,ZA,7200,Blue Bay Lodge
453,san borja,-14.82,-66.85,25.87,29.54,25.87,25.87,75,0.8,98,BO,-14400,missing value
335,san juan,-31.54,-68.54,13.04,8.1,13.04,13.04,32,3.61,0,AR,-10800,Hotel Provincial
128,san rafael,-34.62,-68.33,12.35,9.03,12.35,12.35,34,1.33,0,AR,-10800,Hotel San Rafael
95,sangar,63.92,127.47,18.67,16.53,18.67,18.67,57,3.11,100,RU,32400,missing value
446,santa lucia,27.91,-15.54,22.4,15.97,22.0,22.78,78,13.4,20,ES,3600,Hotel Viverde Las Tirajanas
141,sao filipe,14.9,-24.5,25.21,27.78,25.21,25.21,78,2.37,33,CV,-3600,Tortuga B&B
69,sao francisco,-15.95,-44.86,24.43,23.99,24.43,24.43,44,1.24,22,BR,-10800,Pousada Peixe Vivo
229,sao joao da barra,-21.64,-41.05,23.0,22.64,23.0,23.0,78,5.1,0,BR,-10800,Pousada Porto De Canoas
623,sao jose da coroa grande,-8.9,-35.15,23.75,23.61,23.75,23.75,76,4.99,1,BR,-10800,Crôa Mares Hotel
625,sedlcany,49.66,14.43,18.43,18.35,17.78,18.89,70,1.38,73,CZ,7200,Junácká základna Červený Hrádek
586,segezha,63.74,34.32,12.28,9.36,12.28,12.28,80,3.84,0,RU,10800,Sampo Hotel
385,seoul,37.57,126.98,22.41,23.52,22.0,23.0,69,1.5,90,KR,32400,LOTTE HOTEL SEOUL
425,sept-iles,50.2,-66.38,22.55,19.75,22.22,23.0,53,5.1,75,CA,-14400,Comfort Inn
338,seymchan,62.88,152.43,23.95,21.77,23.95,23.95,37,2.58,88,RU,39600,missing value
457,shahreza,32.03,51.88,23.27,20.23,23.27,23.27,19,1.18,85,IR,16200,خوابگاه
247,shenjiamen,29.96,122.3,23.64,25.47,23.64,23.64,79,2.52,75,CN,28800,Jinjiang Inn Zhoushan Putuo Shenjiamen
594,shitanjing,39.23,106.34,19.34,18.35,19.34,19.34,77,3.82,100,CN,28800,missing value
94,sinop,41.77,34.87,14.93,13.63,14.93,14.93,65,1.33,0,TR,10800,missing value
5,souillac,-20.52,57.52,20.0,15.27,20.0,20.0,56,7.2,75,MU,14400,Bils' Villa
549,suez,29.97,32.53,25.55,24.54,25.55,25.55,72,6.81,0,EG,7200,Green House
