,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
108,teya,60.38,92.63,20.66,20.04,20.66,20.66,55,1.47,100,RU,25200
109,nanortalik,60.14,-45.24,6.63,3.9,6.63,6.63,84,2.05,0,GL,-7200
110,liverpool,53.41,-2.98,14.41,8.58,13.89,15.0,93,9.8,75,GB,3600
111,atar,20.52,-13.05,27.26,26.86,27.26,27.26,58,4.73,85,MR,0
112,mandalgovi,45.76,106.27,28.47,20.2,28.47,28.47,18,9.38,100,MN,28800
113,wufeng,27.45,104.83,23.94,23.88,23.94,23.94,52,1.64,0,CN,28800
114,hay river,60.82,-115.8,13.0,12.88,13.0,13.0,100,1.5,90,CA,-21600
115,natal,-5.79,-35.21,22.52,22.75,22.0,23.0,83,4.6,75,BR,-10800
116,nanzhang,31.78,111.84,32.68,34.12,32.68,32.68,48,3.37,0,CN,28800
117,matagami,49.75,-77.63,7.0,3.39,7.0,7.0,87,3.55,1,CA,-14400
118,damghan,36.17,54.35,21.75,18.48,21.75,21.75,25,2.02,0,IR,16200
119,giyon,8.53,37.98,14.81,14.7,14.81,14.81,92,1.73,100,ET,10800
120,georgetown,5.41,100.34,32.42,34.36,31.67,33.0,55,4.1,20,MY,28800
121,ostrovnoy,68.05,39.51,14.53,11.3,14.53,14.53,56,3.26,52,RU,10800
122,lazaro cardenas,17.96,-102.2,24.65,27.37,24.65,24.65,94,4.11,100,MX,-18000
123,cape town,-33.93,18.42,12.65,6.09,11.67,13.89,66,8.2,20,ZA,7200
124,aksarka,66.56,67.8,17.52,14.26,17.52,17.52,60,4.6,100,RU,18000
126,pangnirtung,66.15,-65.71,6.39,4.34,6.39,6.39,81,0.88,91,CA,-14400
127,olafsvik,64.89,-23.71,8.7,6.61,8.7,8.7,75,1.25,100,IS,0
128,kavaratti,10.57,72.64,30.0,33.6,30.0,30.0,70,3.1,40,IN,19800
129,bambous virieux,-20.34,57.76,23.16,23.92,22.0,24.44,78,3.6,75,MU,14400
130,ossora,59.24,163.07,10.64,5.98,10.64,10.64,61,4.62,100,RU,43200
132,mildura,-34.2,142.15,18.0,14.49,18.0,18.0,34,2.6,49,AU,36000
133,aswan,24.09,32.91,36.59,32.23,36.59,36.59,15,4.84,0,EG,7200
134,edd,13.93,41.69,36.82,38.11,36.82,36.82,39,3.82,100,ER,10800
135,dikson,73.51,80.55,7.5,5.05,7.5,7.5,100,2.67,100,RU,25200
136,binghamton,42.1,-75.92,14.8,11.92,13.89,16.0,72,4.1,75,US,-14400
137,maridi,4.92,29.47,26.21,30.08,26.21,26.21,73,0.43,4,SS,10800
138,fort nelson,58.81,-122.7,12.0,10.69,12.0,12.0,81,1.5,75,CA,-25200
140,naantali,60.47,22.02,12.34,10.88,10.0,14.0,76,1.5,0,FI,10800
142,barrow,71.29,-156.79,4.0,-1.08,4.0,4.0,93,5.1,90,US,-28800
143,siocon,7.71,122.14,29.6,33.14,29.6,29.6,71,3.06,100,PH,28800
144,petropavlovsk-kamchatskiy,53.05,158.65,10.0,6.55,10.0,10.0,100,5.0,90,RU,43200
145,new norfolk,-42.78,147.06,10.64,8.15,8.33,12.78,73,2.24,100,AU,36000
146,rincon,32.3,-81.24,23.39,26.25,22.78,25.0,88,2.1,1,US,-14400
147,abu dhabi,24.47,54.37,35.0,39.88,35.0,35.0,56,2.1,20,AE,14400
148,shingu,33.73,135.98,30.0,31.99,30.0,30.0,74,6.2,40,JP,32400
149,maceio,-9.67,-35.74,21.0,23.64,21.0,21.0,94,1.5,40,BR,-10800
150,akdepe,42.06,59.38,25.51,20.5,25.0,26.0,31,6.2,0,TM,18000
151,salalah,17.02,54.09,25.0,28.9,25.0,25.0,100,3.6,90,OM,14400
152,broome,42.25,-75.83,14.37,11.38,13.89,16.0,72,4.1,75,US,-14400
153,caravelas,-17.71,-39.25,19.2,17.11,19.2,19.2,76,5.22,2,BR,-10800
154,sol-iletsk,51.16,54.99,27.18,25.08,27.18,27.18,32,2.71,100,RU,18000
156,boa vista,2.82,-60.67,26.0,30.83,26.0,26.0,83,0.5,20,BR,-14400
157,clyde river,70.47,-68.59,5.28,1.47,5.28,5.28,74,2.83,0,CA,-14400
158,nome,64.5,-165.41,10.69,9.07,7.78,12.0,81,1.5,75,US,-28800
159,airai,-8.93,125.41,21.23,19.22,21.23,21.23,52,3.32,100,TL,32400
160,zhanaozen,43.3,52.8,26.89,23.82,26.89,26.89,22,2.34,0,KZ,18000
162,kaitangata,-46.28,169.85,9.44,4.1,9.44,9.44,54,4.92,100,NZ,43200
163,isla aguada,18.78,-91.47,28.21,30.67,28.21,28.21,78,4.8,9,MX,-18000
164,urzhum,57.11,50.0,21.2,20.63,21.2,21.2,64,2.67,99,RU,10800
165,butaritari,3.07,172.79,28.05,30.94,28.05,28.05,70,2.62,58,KI,43200
166,paamiut,61.99,-49.67,5.84,2.37,5.84,5.84,65,2.07,0,GL,-7200
167,arman,59.7,150.17,13.85,11.2,13.85,13.85,48,1.65,100,RU,39600
168,bielsk podlaski,52.77,23.19,15.74,13.2,14.44,17.22,95,5.9,92,PL,7200
169,maniitsoq,65.42,-52.9,7.71,5.39,7.71,7.71,76,1.36,0,GL,-7200
170,ugoofaaru,5.67,73.0,28.48,29.43,28.48,28.48,72,6.08,100,MV,18000
171,marfino,55.7,37.38,17.57,17.62,17.0,18.0,93,3.0,40,RU,10800
172,ruyigi,-3.45,30.32,22.94,19.49,22.94,22.94,39,4.35,7,BI,7200
173,mar del plata,-38.0,-57.56,10.21,8.49,9.44,11.67,100,2.6,90,AR,-10800
174,bethel,41.37,-73.41,19.18,17.4,18.89,20.0,60,3.1,1,US,-14400
